OBJECTID,X,Y,geometry
SWF-1320,350743.9424,5015037.253,350743.942441377|5015037.25262821
SWF-1334,349778.6742,5014503.554,349778.674195529|5014503.55390286
SWF-1439,360442.2526,5017305.572,360442.252602021|5017305.57203595
SWF-1440,423058.6289,4985539.612,423058.628876139|4985539.61182715
SWF-1449,361240.5649,5013988.604,361240.564939939|5013988.60387841
SWF-1501,366175.0043,5000166.001,366175.004274312|5000166.00112187
SWF-1701,376834.9697,5020384.087,376834.969680633|5020384.08658217
SWF-1703,368139.5705,5016548.91,368139.570467625|5016548.91030001
SWF-1704,369811.9618,5016343.605,369811.961847059|5016343.60479026
SWF-1905,383186.4149,5038804.275,383186.414882312|5038804.27465709
SWF-1906,383849.0053,5037904.505,383849.005313783|5037904.50521435
SWF-1908,383398.0104,5038576.844,383398.010392361|5038576.84434628
SWF-1909,383752.8766,5038771.357,383752.876609216|5038771.35705552
SWF-1910,383710.8032,5038884.199,383710.803207219|5038884.19856088
SWF-1911,383765.8974,5037299.931,383765.897409835|5037299.93078563
