OBJECTID,X,Y,geometry
29658,377131.499871183,5010751.42110805,377131.499871183|5010751.42110805
29664,347593.546851714,5013209.33989423,347593.546851714|5013209.33989423
29665,347733.678157741,5013002.50012693,347733.678157741|5013002.50012693
29671,377320.816972845,5010736.83843065,377320.816972845|5010736.83843065
29682,347340.5875,5013460.00436667,347340.5875|5013460.00436667
29683,347441.896668537,5013435.04276881,347441.896668537|5013435.04276881
29691,348368.137816037,5016326.67084154,348368.137816037|5016326.67084154
29693,347867.120001495,5016338.52936104,347867.120001495|5016338.52936104
29700,376704.566004941,5013279.95017158,376704.566004941|5013279.95017158
29713,362175.725202514,5019688.77155142,362175.725202514|5019688.77155142
29724,361663.85114543,5019828.90028402,361663.85114543|5019828.90028402
29729,375577.713089577,5010756.50110625,375577.713089577|5010756.50110625
29733,376152.49584486,5010868.93068835,376152.49584486|5010868.93068835
29751,373684.990260037,5010939.54263782,373684.990260037|5010939.54263782
29753,374995.819182993,5012787.53186343,374995.819182993|5012787.53186343
29761,348225.97936961,5013530.49589636,348225.97936961|5013530.49589636
29769,376960.548678682,5013593.17459126,376960.548678682|5013593.17459126
29773,362322.859912147,5016490.55445213,362322.859912147|5016490.55445213
29809,375289.629560924,5009392.86545075,375289.629560924|5009392.86545075
29820,374478.178866667,5009109.7999,374478.178866667|5009109.7999
29839,376526.671956928,5011038.46618819,376526.671956928|5011038.46618819
29841,376700.021194096,5011189.29381928,376700.021194096|5011189.29381928
29842,373920.6804,5011196.96996667,373920.6804|5011196.96996667
29858,347210.221411488,5013767.66296249,347210.221411488|5013767.66296249
29872,375525.483543025,5008945.76844015,375525.483543025|5008945.76844015
29885,359088.995786912,5017114.53101369,359088.995786912|5017114.53101369
29886,374450.345746783,5009151.43431612,374450.345746783|5009151.43431612
29889,374548.548823539,5009145.08221727,374548.548823539|5009145.08221727
29896,376762.725426511,5011154.22522048,376762.725426511|5011154.22522048
29905,374930.498320998,5009246.84268634,374930.498320998|5009246.84268634
29911,375604.12733364,5011171.20702193,375604.12733364|5011171.20702193
